voltage,optical power
0,"14,46"
"0,1","13,82"
"0,2","13,08"
"0,3","12,3"
"0,4","11,5"
"0,5","10,63"
"0,6","9,73"
"0,7","8,84"
"0,8","7,93"
"0,9","6,99"
1,"6,07"
"1,1","5,15"
"1,2","4,33"
"1,3","3,57"
"1,4","3,1"
"1,5","2,23"
"1,6","1,55"
"1,7","1,23"
"1,8","0,78"
"1,9","0,54"
2,"0,433"
"2,1","0,44"
"2,2","0,58"
"2,3","0,804"
"2,4","1,22"
"2,5","1,705"
"2,6","2,3"
"2,7","2,98"
"2,8","3,77"
"2,9","4,61"
3,"5,55"
"3,1","6,55"
"3,2","7,7"
"3,3","8,95"
"3,4",10
"3,5","11,02"
"3,6","12,05"
"3,7","13,05"
"3,8","13,97"
"3,9","14,81"
4,"15,65"
"4,1","16,37"
"4,2","17,04"
"4,3","17,64"
"4,4",18
"4,5","18,21"
"4,6","18,36"
"4,7","18,34"
"4,8","18,17"
"4,9","17,89"
5,"17,4"
"5,1","16,73"
"5,2","16,02"
